Добавлен,Название,Год,Жанр,Актёры,Оценка,Комментарий
03.03.2018 13:00:00,твари из бездны,,,,,
04.03.2018 13:00:00,мальчикам это нравится,,,,,
05.03.2018 13:00:00,Обитель проклятых,,,,,
06.03.2018 13:00:00,Апокалипто,,,,,
07.03.2018 13:00:00,На грани,1997,,,,
08.03.2018 13:00:00,Лабиринт фавна,,,,,
09.03.2018 13:00:00,Четверо против банка ,2017,,,,
10.03.2018 13:00:00,Дюнкерк ,2017,,,,
11.03.2018 13:00:00,Убийство в Восточном экспрессе ,2017,,,10,
12.03.2018 13:00:00,Единственный живой парень в Нью-Йорке,2017,,,,
13.03.2018 13:00:00,Мы монстры,,,,,
14.03.2018 13:00:00,Кингсмен 2,,,,9,Не помню 
15.03.2018 13:00:00,Альфа,2018,,,,
16.03.2018 13:00:00,Взрывная блондинка,2017,,,,
17.03.2018 13:00:00,Ready player one 2018,,,,10,Ждем продолжение
18.03.2018 13:00:00,Justice league 2017,,,,7,"Ну это, конечно, не марвел."
19.03.2018 13:00:00,Аритмия ,2017,,,9,"Итог не подведен, как всегда"
20.03.2018 13:00:00,наемник ,2017,,,,
21.03.2018 13:00:00,Keep Watching ,2017,,,,
22.03.2018 13:00:00,6 days ,2017,,,,
23.03.2018 13:00:00,Жажда смерти,,,,,
24.03.2018 13:00:00,мама ,2017,,,,
25.03.2018 13:00:00,Вспомнить заново rememory ,2017,,,,
26.03.2018 13:00:00,Скайлайн 2 ,2018,,,,
27.03.2018 13:00:00,Статус Брэда ,2017,,,,
28.03.2018 13:00:00,субурбикон ,2017,,,,
29.03.2018 13:00:00,излом времени ,2018,,,,
30.03.2018 13:00:00,снеговик ,2017,,,,
31.03.2018 13:00:00,джунгли ,2017,,,,
01.04.2018 13:00:00,отступнки,,,,,
02.04.2018 13:00:00,Пассажир ,2018,,,,
03.04.2018 13:00:00,Теория хаоса,2007,,,,
04.04.2018 13:00:00,Козырные тузы,,,,,
05.04.2018 13:00:00,Предложение ,2009,,,,
06.04.2018 13:00:00,Игра джеральда ,2017,,,,
07.04.2018 13:00:00,Клаустрофобия ,2017,,,,
08.04.2018 13:00:00,Техасская резня бензопилой кожаное лицо ,2017,,,,
09.04.2018 13:00:00,Стена ,2017,,,,
10.04.2018 13:00:00,Мина ,2017,,,,
11.04.2018 13:00:00,Дело храбрых ,2017,,,,
12.04.2018 13:00:00,Напролом,,,,,
12.04.2018 16:58:50,Твоё имя,,Аниме,,,
13.04.2018 13:00:00,Аннигиляция ,2018,,,7,"Крутая идея, но"
13.04.2018 13:13:48,"действуй, сестра",,комедия,Вупи голдберг,,
14.04.2018 13:00:00,Свадьба уайлд ,2017,,,,
15.04.2018 13:00:00,"Прощай, Кристофер Робин ",2017,,,,
16.04.2018 13:00:00,Форма воды ,2018,,,,
16.04.2018 18:33:47,Цельнометаллическая оболочка,,Боевик,,,
16.04.2018 19:09:41,Lupin,,Аниме,,,
17.04.2018 13:00:00,Убийство священного оленя ,2017,,,,
17.04.2018 23:08:09,Незнайка на Луне,1999?, Мультфильм,Меладзе,,
18.04.2018 13:00:00,Голем ,2017,,,,
19.04.2018 13:00:00,Джиперс криперс 3 ,2017,,,,
21.04.2018 13:00:00,Полуночный человек ,2017,,,,
21.04.2018 21:24:46,Два бойца,1943,,,,
22.04.2018 13:00:00,Тихоокеанский рубеж 2,,,,10,нормас
23.04.2018 0:56:46,Дыши во мгле,2018,,Ольга Куриленко,6,"На раз. Можно было офигенно развить идею, но режиссеру было впадлу похоже"
23.04.2018 11:02:09,Охота на воров,,,,,
23.04.2018 11:07:05,"Про рэперов, фак та полис ",,,Сын айс Кьюба,,
23.04.2018 13:00:00,Атлантида ,2017,,,,
23.04.2018 16:25:47,Стрингер,,,,,
23.04.2018 18:02:30,Суспирия,,Хоррор,"Дакота Джонсон, Хлоя моРец",,
23.04.2018 18:02:52,Deep stste,,Сериал,,,
24.04.2018 10:48:54,Спаун,,,,,
